2024/09/09 10:09:23.928870 UUID_Extension.go:33: uuid-ossp extension is already enabled
2024/09/09 10:09:24.009310 main.go:132: Running benchmarks for MongoDB repository...
2024/09/09 10:09:24.013360 main.go:55: [MongoDB] Created author with ID: 4e1aed80-dfab-4783-b0bc-cb81cd708801
2024/09/09 10:09:24.014098 main.go:55: [MongoDB] Created author with ID: c2fe12a2-f0ee-4876-98b5-b64b1e342916
2024/09/09 10:09:24.014792 main.go:55: [MongoDB] Created author with ID: 16fca503-b079-4f25-a669-a90efeee2a85
2024/09/09 10:09:24.015529 main.go:55: [MongoDB] Created author with ID: 31fe5d2e-1ccb-479a-97b9-bf920db8e2dc
2024/09/09 10:09:24.016283 main.go:55: [MongoDB] Created author with ID: a0cece9f-1271-43e2-a784-5012d4696024
2024/09/09 10:09:24.017223 main.go:55: [MongoDB] Created author with ID: 5591f555-4662-45ec-bb12-9eb7d49cc7e9
2024/09/09 10:09:24.018053 main.go:55: [MongoDB] Created author with ID: 3d30ea31-ae14-4962-bd78-32cc93cfa99b
2024/09/09 10:09:24.018856 main.go:55: [MongoDB] Created author with ID: e5fe3081-c668-45f5-bbc7-95720d7f6017
2024/09/09 10:09:24.019586 main.go:55: [MongoDB] Created author with ID: 44199ad7-8e4d-4665-b276-3f567e18fc40
2024/09/09 10:09:24.020348 main.go:55: [MongoDB] Created author with ID: 987f9fd8-2822-4c41-b0b8-64951447b317
2024/09/09 10:09:24.021350 main.go:55: [MongoDB] Created author with ID: 4f0b403f-ec71-4f10-b51b-1e285b390dfe
2024/09/09 10:09:24.022314 main.go:55: [MongoDB] Created author with ID: 1bdfca67-f03c-48d1-bc5c-bd2dcd84bdb3
2024/09/09 10:09:24.023259 main.go:55: [MongoDB] Created author with ID: f85d9307-84ac-4bfa-8ed3-390ff9ba1dfc
2024/09/09 10:09:24.024356 main.go:55: [MongoDB] Created author with ID: 5a3be7a7-19bb-41f7-8a35-925603f2fe51
2024/09/09 10:09:24.025439 main.go:55: [MongoDB] Created author with ID: 753051f8-7dd2-4e31-849e-106085ea1190
2024/09/09 10:09:24.026348 main.go:55: [MongoDB] Created author with ID: 0ae90919-e1f9-49e2-8604-285f1d3ef932
2024/09/09 10:09:24.027329 main.go:55: [MongoDB] Created author with ID: ea5947e1-d354-4bfa-b107-bcb2ac390afa
2024/09/09 10:09:24.028232 main.go:55: [MongoDB] Created author with ID: 26d1d650-ecd8-40d5-a9d5-677b654ebdbe
2024/09/09 10:09:24.029162 main.go:55: [MongoDB] Created author with ID: 7182177d-64f7-471d-ab54-2a621cfc6f79
2024/09/09 10:09:24.030151 main.go:55: [MongoDB] Created author with ID: d0c02b3e-2df9-44d5-b1cc-c737d1d60114
2024/09/09 10:09:24.030970 main.go:55: [MongoDB] Created author with ID: 01e7c3d3-febf-4436-84ae-c9f52dfb9a4e
2024/09/09 10:09:24.031870 main.go:55: [MongoDB] Created author with ID: 274295ba-d840-48c6-ac89-c850597bbe82
2024/09/09 10:09:24.032853 main.go:55: [MongoDB] Created author with ID: e4a488d7-82fb-4ecc-a46e-6961e71f6986
2024/09/09 10:09:24.033844 main.go:55: [MongoDB] Created author with ID: d6f79c23-9469-4a28-b764-de2cbf34211f
2024/09/09 10:09:24.034869 main.go:55: [MongoDB] Created author with ID: 5b3f65b2-a73c-4e5f-a391-4693f412f8a4
2024/09/09 10:09:24.035939 main.go:55: [MongoDB] Created author with ID: 1e5db2c8-9720-4421-baa6-2802d15e5f76
2024/09/09 10:09:24.036940 main.go:55: [MongoDB] Created author with ID: f08af1bc-09f0-4933-81e6-ffb5723ea1f4
2024/09/09 10:09:24.037774 main.go:55: [MongoDB] Created author with ID: 50a38277-fb3b-4ce5-88b2-7f82b5a77de4
2024/09/09 10:09:24.038854 main.go:55: [MongoDB] Created author with ID: 0e265418-6810-41cf-b629-6c32f2790a55
2024/09/09 10:09:24.039879 main.go:55: [MongoDB] Created author with ID: 0584a294-064b-4076-bea7-794eed04233e
2024/09/09 10:09:24.040782 main.go:55: [MongoDB] Created author with ID: 22125341-6a09-4ef1-8974-26f400915f14
2024/09/09 10:09:24.041619 main.go:55: [MongoDB] Created author with ID: ef5ddbb4-60c4-4818-aec4-117776af3497
2024/09/09 10:09:24.042367 main.go:55: [MongoDB] Created author with ID: fde6f181-c2af-4d32-9f23-27cdeec64e87
2024/09/09 10:09:24.043340 main.go:55: [MongoDB] Created author with ID: 6ee18f92-0dac-443f-bb5f-dc78a6c7bdc3
2024/09/09 10:09:24.044394 main.go:55: [MongoDB] Created author with ID: 7e11f061-d97d-45a2-aa9e-d37bba3690f2
2024/09/09 10:09:24.045356 main.go:55: [MongoDB] Created author with ID: 9dbafff1-c6c7-4d63-8551-853ed16ea04d
2024/09/09 10:09:24.046191 main.go:55: [MongoDB] Created author with ID: 1b746b4d-b6f6-4231-8dd4-32ce63528ea8
2024/09/09 10:09:24.046974 main.go:55: [MongoDB] Created author with ID: 19c09fcc-b566-47f8-8ce3-1b7eb286351e
2024/09/09 10:09:24.047843 main.go:55: [MongoDB] Created author with ID: 8245739e-594e-432b-8bef-89adc659177f
2024/09/09 10:09:24.048830 main.go:55: [MongoDB] Created author with ID: f651c7dc-d6f7-46f1-adb4-80a41cbe1ff3
2024/09/09 10:09:24.049842 main.go:55: [MongoDB] Created author with ID: 8fe21019-1420-4aca-81da-ff9c232789a9
2024/09/09 10:09:24.050941 main.go:55: [MongoDB] Created author with ID: 1da3a93c-6ac0-498f-9b83-9d2647b3d14c
2024/09/09 10:09:24.051933 main.go:55: [MongoDB] Created author with ID: cab6a021-34e9-4502-929f-a9b5e1229b20
2024/09/09 10:09:24.052888 main.go:55: [MongoDB] Created author with ID: 5c70987e-5270-473e-bf05-d78d6532a765
2024/09/09 10:09:24.053844 main.go:55: [MongoDB] Created author with ID: 1e64ec84-e46e-490f-ad6a-add494d0bfb3
2024/09/09 10:09:24.054838 main.go:55: [MongoDB] Created author with ID: 1989e2ea-f06d-47d6-a0ff-40ff9b839ea7
2024/09/09 10:09:24.055771 main.go:55: [MongoDB] Created author with ID: 35ba6d75-d227-4743-854d-67f8e19231c1
2024/09/09 10:09:24.056754 main.go:55: [MongoDB] Created author with ID: 1cae75b1-dcf1-41cf-aa89-8da72b0620f8
